StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PID,Age,Q3,Q4,Q9,Q7,Q18,Q18_3_TEXT,Q16,Q17,Q18,Q18_3_TEXT,full_time_professional,professional_identity,Q10,Q11,Q20,Q21,Q13,Q13_5_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_7_TEXT,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_7_TEXT,Q22,Q22_4_TEXT,Q19
2025-11-19 11:54:16,2025-11-19 11:57:46,IP Address,100,210,TRUE,2025-11-19 11:57:47,R_6qgbofuxiGrmnp9,,40.4236,-79.9825,anonymous,EN,P1,27,Yes,Yes,4,Yes,No,,"Yes, I am a Ph.D. student",4,Yes,,0,PhD,No,2,Moderately familiar,Very knowledgeable,Man,,,,,,White / Caucasian,,,,,ADHD,,,,,,,I suspect all of the conditions above,,English
2025-11-25 13:57:47,2025-11-25 14:02:06,IP Address,100,259,TRUE,2025-11-25 14:02:08,R_6pxXp5AvUdoup7b,,40.4442,-79.9557,anonymous,EN,P4,33,Yes,Yes,15,Yes,No,,"Yes, I am a Ph.D. student",2.5,Yes,,0,PhD,No,3,Extremely familiar,Extremely knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,"Russian, Vietnamese"
2025-12-01 12:14:31,2025-12-01 12:20:08,IP Address,100,336,TRUE,2025-12-01 12:20:08,R_5F6kcd6mHFyuMgx,,40.4442,-79.9557,anonymous,EN,P2,23,Yes,Yes,1,Yes,No,,"Yes, I am a Master's student",1.5,Yes,,0,Masters,"Yes, I have worked at one before",3,Moderately familiar,Moderately knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,,,,,Other:,I am not sure ,I suspect all of the conditions above,,Chinese
2025-12-01 17:58:13,2025-12-01 18:00:13,IP Address,100,119,TRUE,2025-12-01 18:00:13,R_3N83M2iEeonv30e,,40.4442,-79.9557,anonymous,EN,P9,33,Yes,Yes,15,Yes,No,,"Yes, I am a Ph.D. student",3.5,Yes,,0,PhD,"Yes, I have worked at one before",5.5,Very familiar,Very knowledgeable,Man,,,,,,White / Caucasian,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2025-12-01 22:25:11,2025-12-01 22:27:50,IP Address,100,158,TRUE,2025-12-01 22:27:51,R_3wB3Fsh1DxyRoF3,,40.4725,-79.9109,anonymous,EN,P3,26,Yes,Yes,3,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",4,Moderately familiar,Moderately knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,White / Caucasian,,,,,,,,,,Other:,I don’t know that I’m neurotypical but I don’t think I have the above conditions,I suspect all of the conditions above,,English
2025-12-03 10:52:45,2025-12-03 10:55:08,IP Address,100,142,TRUE,2025-12-03 10:55:08,R_6n2fNPMIEG12aOe,,40.4422,-79.9927,anonymous,EN,P29,26,Yes,Yes,2,Yes,No,,"Yes, I am a Ph.D. student",3,Yes,,0,PhD,"Yes, I have worked at one before",2,Slightly familiar,Moderately knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,English
2025-12-05 15:08:33,2025-12-05 15:12:16,IP Address,100,223,TRUE,2025-12-05 15:12:16,R_3EP83Vs93QOcV0J,,40.4442,-79.9557,anonymous,EN,P10,25,Yes,Yes,4,Yes,No,,"Yes, I am a Ph.D. student",2,Yes,,0,PhD,"Yes, I have worked at one before",1,Moderately familiar,Moderately knowledgeable,Nonbinary,,,,,,White / Caucasian,,,,,ADHD,Autism,,,,,,I self-identify as all of the conditions above,,English
2025-12-06 15:44:52,2025-12-06 15:46:23,IP Address,100,91,TRUE,2025-12-06 15:46:23,R_5GuY551L0jQXmX1,,40.4422,-79.9927,anonymous,EN,P7,27,Yes,Yes,5,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",5,Extremely familiar,Extremely knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2025-12-06 15:46:28,2025-12-06 15:51:14,IP Address,100,285,TRUE,2025-12-06 15:51:14,R_5kOjXTbYwLv8giX,,40.4725,-79.9109,anonymous,EN,P6,28,Yes,Yes,4,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",6,Very familiar,Very knowledgeable,Man,,,,,,White / Caucasian,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,English
2025-12-06 18:07:32,2025-12-06 18:11:09,IP Address,100,217,TRUE,2025-12-06 18:11:10,R_71ub7f1cJLUSLqB,,39.3485,-77.382,anonymous,EN,P13,22,Yes,Yes,1,Yes,No,,"Yes, I am a Ph.D. student",0.5,Yes,,0,PhD,"Yes, I have worked at one before",1,Slightly familiar,Slightly knowledgeable,Woman,,,,Black or African American,,,,,,,,Autism,,,,,,I self-identify as all of the conditions above,,English
2025-12-07 16:36:48,2025-12-07 16:39:15,IP Address,100,146,TRUE,2025-12-07 16:39:15,R_6M54NLSpbW8yDQZ,,40.4324,-79.9247,anonymous,EN,P8,26,Yes,Yes,1,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",3,Very familiar,Slightly knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,Mandarin 
2025-12-07 21:05:16,2025-12-07 21:08:45,IP Address,100,209,TRUE,2025-12-07 21:08:46,R_337mTdytrCGW8AZ,,40.4442,-79.9557,anonymous,EN,P5,19,Yes,Yes,3,Yes,No,,"Yes, I am an undergraduate",1,Yes,,0,Undergrad,No,0,Extremely familiar,Very knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,,,,,Other:,"Possible minor depression, not clinically diagnosed though",I suspect all of the conditions above,,English
2025-12-09 17:11:31,2025-12-09 17:13:35,IP Address,100,123,TRUE,2025-12-09 17:13:35,R_1OqSBaOSbqynhF5,,40.4442,-79.9557,anonymous,EN,P11,26,Yes,Yes,4,Yes,No,,"Yes, I am a Ph.D. student",4.5,Yes,,0,PhD,No,0,Moderately familiar,Slightly knowledgeable,Man,,,,,,White / Caucasian,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2025-12-06 18:59:04,2025-12-06 22:51:13,IP Address,64,13928,FALSE,2025-12-13 22:51:14,R_6KFNUP7yUKmAueR,,40.4725,-79.9109,anonymous,EN,P12,24,Yes,Yes,2,Yes,No,,"Yes, I am a Master's student",1,Yes,,0,Masters,"Yes, I currently work at one",3,Moderately familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,"Korean, English"
2025-12-16 23:13:59,2025-12-16 23:24:23,IP Address,100,624,TRUE,2025-12-16 23:24:23,R_1HoCkDfL06d5JvK,,40.4725,-79.9109,anonymous,EN,P15,28,Yes,Yes,3,Yes,Not sure:,mild Kerataconus,No,,,,1,Professional,"Yes, I currently work at one",5.5,Not familiar at all,Moderately knowledgeable,Other:,"my pronouns are he/they, Man/Agender are the closest to what I identify as",,,,,White / Caucasian,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,English / German
2025-12-18 1:38:18,2025-12-18 1:40:17,IP Address,100,119,TRUE,2025-12-18 1:40:18,R_3ALS2cp6axXJkfy,,40.4521,-79.9201,anonymous,EN,P14,21,Yes,Yes,3,Yes,No,,"Yes, I am an undergraduate",3,Yes,,0,Undergrad,"Yes, I have worked at one before",3,Extremely familiar,Very knowledgeable,Nonbinary,,,,,Hispanic or Latine/Latinx,White / Caucasian,,,,,ADHD,Autism,,,,,,"Other, or mixed (please elaborate on which conditions have diagnoses or not or any other circumstances):",Diagnosed ADHD when it was thought to be mutually exclusive with Autism,English
2025-12-17 19:01:24,2025-12-18 15:16:54,IP Address,100,72930,TRUE,2025-12-18 15:16:54,R_7kmQsekkavgTLVw,,33.6613,-112.0398,anonymous,EN,P16,25,Yes,Yes,1,Yes,No,,"Yes, I am a Ph.D. student",2.5,Yes,,0,PhD,"Yes, I have worked at one before",2.5,Slightly familiar,Slightly knowledgeable,Man,,,,,,White / Caucasian,,,,,,,,,,Other:,OCD,I am professionally diagnosed with all of the conditions above,,English
2026-01-20 10:47:36,2026-01-20 10:49:51,IP Address,100,134,TRUE,2026-01-20 10:49:52,R_6jt1SYbbLT3fYeB,,38.8155,-77.1205,anonymous,EN,P36,43,Yes,Yes,25,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",15,Slightly familiar,Moderately knowledgeable,Woman,,,,,,White / Caucasian,,,,,,Autism,,,,,,I suspect all of the conditions above,,English and Hungarian 
2026-01-20 13:42:10,2026-01-20 13:44:58,IP Address,100,167,TRUE,2026-01-20 13:44:58,R_5xxiNPEl5DxRSN0,,40.4442,-79.9557,anonymous,EN,P21,24,Yes,Yes,6,Yes,No,,"Yes, I am a Ph.D. student",1,Yes,,0,PhD,No,0,Moderately familiar,Moderately knowledgeable,Man,,,,,,White / Caucasian,,,,,ADHD,Autism,,,,,,I suspect all of the conditions above,,English
2026-01-20 16:18:05,2026-01-20 16:20:41,IP Address,100,155,TRUE,2026-01-20 16:20:41,R_5kSW7K0ItuzmyzJ,,40.4442,-79.9557,anonymous,EN,P19,23,Yes,Yes,2.5,Yes,Not sure:,I have astigmatism but have cylindrical glasses to fix,"Yes, I am a Master's student",1 semester ,Yes,,0,Masters,"Yes, I have worked at one before",3,Moderately familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,"Hindi, English "
2026-01-20 16:40:31,2026-01-20 16:44:04,IP Address,100,212,TRUE,2026-01-20 16:44:05,R_5fdpnVcz1VUeRGA,,40.4442,-79.9557,anonymous,EN,P27,31,Yes,Yes,2.5,Yes,No,,"Yes, I am a Ph.D. student",3,Yes,,0,PhD,No,0,Moderately familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,English
2026-01-20 21:48:12,2026-01-20 21:50:27,IP Address,100,134,TRUE,2026-01-20 21:50:27,R_3BH2xg0obX1F75n,,40.4324,-79.9247,anonymous,EN,P17,25,Yes,Yes,2,Yes,No,,"Yes, I am a Ph.D. student",2.5,Yes,,0,PhD,No,0,Not familiar at all,Moderately knowledgeable,Nonbinary,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,,,,,Other:,unsure,I suspect all of the conditions above,,English
2026-01-21 11:02:11,2026-01-21 11:05:26,IP Address,100,195,TRUE,2026-01-21 11:05:26,R_1oKnvOq7M8s6nSh,,40.4442,-79.9557,anonymous,EN,P26,18,Yes,Yes,3,Yes,No,,"Yes, I am an undergraduate",0.5,Not sure:,Information Systems,0,Undergrad,No,0,Not familiar at all,Moderately knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2026-01-21 14:04:08,2026-01-21 14:05:53,IP Address,100,104,TRUE,2026-01-21 14:05:53,R_7rMdJKl3qGk9euc,,40.4422,-79.9927,anonymous,EN,P18,25,Yes,Yes,3,Yes,Not sure:,Myopic,"Yes, I am a Master's student",1,Yes,,0,Masters,"Yes, I have worked at one before",2,Extremely familiar,Very knowledgeable,Woman,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,,,,,,,,,English/Hindi
2026-01-21 14:04:36,2026-01-21 14:07:17,IP Address,100,161,TRUE,2026-01-21 14:07:17,R_6cxjf6Fa3NzQGnD,,40.4442,-79.9557,anonymous,EN,P24,25,Yes,Yes,1,Yes,No,,"Yes, I am a Master's student",0.5,Yes,,0,Masters,"Yes, I have worked at one before",1,Very familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2026-01-21 14:07:04,2026-01-21 14:09:53,IP Address,100,169,TRUE,2026-01-21 14:09:54,R_5zdEib9WwAHuNr3,,40.4442,-79.9557,anonymous,EN,P23,22,Yes,Yes,1,Yes,No,,"Yes, I am an undergraduate",3,Yes,,0,Undergrad,"Yes, I have worked at one before",1,Very familiar,Slightly knowledgeable,Man,,,,,Hispanic or Latine/Latinx,,,,,,,,,,,,,,,English
2026-01-21 14:04:18,2026-01-21 14:10:36,IP Address,100,378,TRUE,2026-01-21 14:10:36,R_6oIM2aaSjhRkD6N,,40.4442,-79.9557,anonymous,EN,P25,22,Yes,Yes,3,Yes,No,,"Yes, I am a Master's student",1 out of 1 (5th years masters),Yes,,0,Masters,"Yes, I currently work at one",1,Extremely familiar,Very knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2026-01-21 14:07:45,2026-01-21 14:11:29,IP Address,100,224,TRUE,2026-01-21 14:11:30,R_5Lu3l0TL6AwfA0Q,,40.4442,-79.9557,anonymous,EN,P20,25,Yes,Yes,2.5,Yes,No,,"Yes, I am a Master's student",0.5,Yes,,0,Masters,"Yes, I have worked at one before",4,Very familiar,Very knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,Hindi
2026-01-21 17:01:46,2026-01-21 17:03:58,IP Address,100,132,TRUE,2026-01-21 17:03:58,R_1EmwOWMe3T3rXaY,,40.4442,-79.9557,anonymous,EN,P22,21,Yes,Yes,1,Yes,No,,"Yes, I am an undergraduate",3,Yes,,0,Undergrad,No,0,Slightly familiar,Slightly knowledgeable,Man,,,,,Hispanic or Latine/Latinx,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
2026-01-30 18:18:57,2026-01-30 18:22:13,IP Address,100,196,TRUE,2026-01-30 18:22:13,R_7zNzdkIKwWQGVcl,,40.4442,-79.9557,anonymous,EN,P31,25,Yes,Yes,4,Yes,No,,"Yes, I am a Ph.D. student",1.5,Yes,,0,PhD,"Yes, I have worked at one before",1,Slightly familiar,Very knowledgeable,Nonbinary,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,,Autism,,,,,,I am professionally diagnosed with all of the conditions above,,English
2026-02-03 12:23:55,2026-02-03 12:26:53,IP Address,100,178,TRUE,2026-02-03 12:26:53,R_6q27Hq60AL9j39b,,40.4324,-79.9247,anonymous,EN,P30,31,Yes,Yes,1,Yes,No,,No,,,,1,Professional,"Yes, I currently work at one",13,Slightly familiar,Slightly knowledgeable,Man,,,,,,White / Caucasian,,,,,,Autism,,,,,,I suspect all of the conditions above,,English
2026-02-03 12:29:49,2026-02-03 12:32:14,IP Address,100,144,TRUE,2026-02-03 12:32:14,R_7f9NiGCDUG3ZM9V,,40.4725,-79.9109,anonymous,EN,P32,39,Yes,Yes,4,Yes,No,,No,,,,0,Unemployed,"Yes, I have worked at one before",15,Moderately familiar,Very knowledgeable,Man,,,,,,White / Caucasian,,,,,ADHD,,,,,,,I am professionally diagnosed with all of the conditions above,,English 
2026-02-04 21:42:55,2026-02-04 21:45:19,IP Address,100,143,TRUE,2026-02-04 21:45:19,R_35LrG6RHXnZfAT5,,40.4422,-79.9927,anonymous,EN,P33,24,Yes,Yes,1.5,Yes,No,,"Yes, I am a Ph.D. student",1,Yes,,0,PhD,"Yes, I have worked at one before",0.5,Very familiar,Moderately knowledgeable,Woman,,,,,,White / Caucasian,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,Portuguese
2026-02-05 12:25:06,2026-02-05 12:27:37,IP Address,100,151,TRUE,2026-02-05 12:27:38,R_6SAL9AeETvGPtrb,,40.4442,-79.9557,anonymous,EN,P37,20,Yes,Yes,1,Yes,No,,"Yes, I am an undergraduate",2,Yes,,0,Undergrad,No,0,Moderately familiar,Moderately knowledgeable,Nonbinary,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,,ADHD,,,,,,,I suspect all of the conditions above,,English
2026-02-09 15:19:19,2026-02-09 15:23:25,IP Address,100,245,TRUE,2026-02-09 15:23:25,R_7CoZHQ5jM7lG9HT,,40.4442,-79.9557,anonymous,EN,P35,20,Yes,Yes,4,Yes,No,,"Yes, I am an undergraduate",1.5,Not sure:,Electrical and Computer Engineering ,0,Undergrad,"Yes, I have worked at one before",1,Very familiar,Moderately knowledgeable,Man,,,"Asian, Pacific Islander, or Native Hawaiian",,,,,,,I am neurotypical and do not have any of the below conditions,,,,,,,,,,English
